SAMPLE CODE NAME,slea
DFN3_LALA_N1,9.981992422527085
DFN3_LALA_N2,10.120100937600759
DFN3_LALA_N3,9.600508512977747
DG96_LALA_N1,9.34688218860818
DG96_LALA_N2,10.094011308507874
DG96_LALA_N3,10.06975978082234
DGVK_WT_N1,9.869340654689822
DGVK_WT_N2,10.111692033084184
DGVK_WT_N3,9.838452959220186
HF7_WT_N1,10.100432215612518
HF7_WT_N2,10.116778132599439
HF7_WT_N3,9.860063845481962
HJR_WT_N1,9.938220713108718
HJR_WT_N2,10.331954912020333
HJR_WT_N3,9.97249549835991
V052_DEL_N1,10.285648810780932
V052_DEL_N2,10.820146327485697
V052_DEL_N3,9.8820559564353
V064_LALA_N1,9
V064_LALA_N2,10.251208299197081
V064_LALA_N3,9.918680101647617
V077_WT_N1,10.459949057405339
V077_WT_N2,10.419146244995089
V077_WT_N3,10.098961575643859
V108_DEL_N1,9.800941266188547
V108_DEL_N2,10.603450559745578
V108_DEL_N3,10.053125499523286
V149_DEL_N1,9.854011145449876
V149_DEL_N2,11.232370262616893
V149_DEL_N3,10.247952280707604
V151_DEL_N1,9.51022790460479
V151_DEL_N2,10.69475610482538
V151_DEL_N3,10.246187863412434
V165_DEL_N1,9.88945809427442
V165_DEL_N2,11.015949076338446
V165_DEL_N3,9.745717068262543
V187_LALA_N1,9.881838375952873
V187_LALA_N2,9.977998400661283
V187_LALA_N3,9.52187908295378
X044_WT_N1,9.887277185274977
X044_WT_N2,10.232457687581446
X044_WT_N3,10.108574932756447
